sample_id,elderly_growth_rate,p12,p23,fixed_cost_multiplier,budget_limit,served_demand_coverage,financial_annual_net_profit,fairness_average_service_access_performance
1,0.06626444759590999,0.043453664811255586,0.09001655422283722,1.102458064828999,117.21868277278035,0.602232,-504913.25,0.625331
2,0.07066730443176271,0.04334120426426645,0.10364838520871018,1.1099543022314782,126.53387541983966,0.605208,-462536.5,0.62791
3,0.0719283542018324,0.045311396784315595,0.0986791164706762,0.9,115.01148845622909,0.605441,-401412.0,0.62909
4,0.0728755017934126,0.0442948091955782,0.10045854542286815,0.9321461105902081,120.71007343152687,0.605441,-382829.12,0.629843
5,0.07678173410251168,0.045943502596564836,0.09980596002606563,1.0534890349097754,120.52491201547654,0.605441,-532951.69,0.629336
6,0.06901459525582379,0.04173142245264229,0.10681422669018435,1.0468701011143606,113.82417563807138,0.602861,-516330.63,0.626245
7,0.06910109669936629,0.038834528525722826,0.10860062676801914,0.9634549434727998,119.0540025423182,0.605441,-389823.73,0.628157
8,0.07605288908100896,0.036327798751944036,0.10054375787711545,0.904921012738048,118.2128051458686,0.605441,-415073.09,0.630656
9,0.06735238631153352,0.046267382504851386,0.09190423517173918,0.9348906346341521,107.26876165535144,0.602954,-464481.16,0.626175
10,0.07228230066997186,0.04338951962143063,0.09777744763656036,1.0222233563676912,114.31521043674877,0.603998,-521915.26,0.627525
11,0.06228198461598172,0.039090545997719606,0.09647064187106975,0.9,114.03706694235669,0.604418,-314692.52,0.626312
12,0.07117286698141505,0.044532981179418535,0.10482555846205678,0.9908242664217227,123.04970420602915,0.605441,-395216.81,0.629007
13,0.07319481196319293,0.04545486074651318,0.10450282888201326,1.0518222977229144,117.08604671182636,0.604317,-529971.06,0.627837
14,0.06575832820803147,0.050874878631356577,0.11549875722192635,0.9110112758374739,111.57233454671785,0.604198,-384013.42,0.626727
15,0.07543915962085354,0.05279834209511499,0.09996320793652932,0.9403561595393749,118.79600689987292,0.605441,-434995.41,0.630132
16,0.08233993667651143,0.03909715314441716,0.09741245222271358,0.9,125.00956800424211,0.605441,-405547.03,0.633506
17,0.07111405141364968,0.04634207571007446,0.10108971555366912,1.0639797739440242,134.73925492653836,0.605441,-343573.1,0.629917
18,0.07034722772988511,0.043253208303917774,0.09972516185411763,1.0041254138255438,116.5840080692518,0.604564,-463588.41,0.627588
19,0.0769819841655822,0.05041400224767611,0.10137019925856418,1.0526447407409218,113.12987230037417,0.603959,-608144.73,0.628228
20,0.06797093003048485,0.0424249357430765,0.10438109133513082,1.0358703631599204,109.34151839177724,0.60175,-540820.78,0.62539
21,0.0749988050846981,0.04408442535167176,0.09502801026977142,1.0363577383724503,107.77779019725921,0.602562,-627175.45,0.627047
22,0.07751866964294686,0.04122336596926745,0.09543704009260065,0.9242566663078264,111.4480484114695,0.605441,-514780.55,0.629737
23,0.07708487168123393,0.04987934493333082,0.09563142249772055,0.9492561034017707,127.3069766462928,0.605441,-374352.78,0.631817
24,0.06184775654572666,0.04836136677727937,0.1029404750971711,0.9,116.59432206519644,0.604988,-284777.68,0.6266
